Date,portfolio_value,benchmark_^GSPC
2025-01-02,95924.21849298477,95924.21849298477
2025-01-03,96691.33175134659,97132.48251236064
2025-01-06,96598.9041185379,97670.4065797758
2025-01-07,96323.99065685272,96585.88289395392
2025-01-08,96461.31002569199,96736.59166062702
2025-01-09,96606.93239355087,
2025-01-10,95668.81503009796,95245.72176723072
2025-01-13,95076.75909662247,95395.7760765153
2025-01-14,95097.19546508789,95505.12632870978
2025-01-15,95841.69950914383,97254.09186880813
2025-01-16,96293.4693107605,97048.62417356731
2025-01-17,96717.81284236908,98018.24270058009
2025-01-20,97134.48137521744,
2025-01-21,97330.99284315109,98877.68891306891
2025-01-22,97361.07824134827,99484.59438547034
2025-01-23,97998.75177240372,100013.20440688074
2025-01-24,97930.63149547577,99727.65347461205
2025-01-27,97327.70225524902,98273.55291278714
2025-01-28,97378.39489936829,99179.42569392172
2025-01-29,97791.73393535614,98715.37549953129
2025-01-30,98923.05238819122,99236.14001346727
2025-01-31,98214.18784761429,98735.31250631779
2025-02-03,96903.33648777008,97984.07523618737
2025-02-04,97026.27330827713,98691.99860086128
2025-02-05,98064.41111373901,99077.7533442607
2025-02-06,98021.5363869667,99438.82227421309
2025-02-07,97674.80661249161,98497.65668122511
2025-02-10,98347.32358074188,99158.82624855904
2025-02-11,98028.89818811417,99192.49887931652
2025-02-12,97911.02953004837,98922.31173330241
2025-02-13,98064.27453327179,99953.7046528402
2025-02-14,97659.44354820251,99946.51360275428
2025-02-18,98299.52946996689,100190.88160667298
2025-02-19,98527.34497451782,100429.03226540088
2025-02-20,98795.66375398636,99993.7542525418
2025-02-21,97165.90912675858,98287.44816051144
2025-02-24,97468.73937606812,97799.04736255592
2025-02-25,97572.67350149155,97341.37413710963
2025-02-26,97950.20263433456,97354.61492744542
2025-02-27,97708.38300704956,95810.12741531746
2025-02-28,98298.76387453079,97329.11503285661
2025-03-03,96733.77142500877,95616.43995306977
2025-03-04,94852.739164114,94446.58938992425
2025-03-05,95941.2972433567,95500.54512699023
2025-03-06,94964.51205420494,93798.82023667941
2025-03-07,95785.15096664429,94316.64767355478
2025-03-10,94139.87958049774,91772.63612423431
2025-03-11,94054.14745950699,91078.11317364947
2025-03-12,94811.53901481628,91523.20006614849
2025-03-13,93902.79577684402,90251.85273947059
2025-03-14,95292.98505973816,92171.1368243343
2025-03-17,96453.40617012978,92762.51888672782
2025-03-18,96317.85939741135,91774.27226770559
2025-03-19,97630.13907051086,92765.29634003514
2025-03-20,97705.4451637268,92562.61407928931
2025-03-21,97564.17306184769,92638.94615811479
2025-03-24,98652.3729531765,94273.65301560488
2025-03-25,98985.78213191032,94422.0711814182
2025-03-26,98330.93208169937,93368.61027798745
2025-03-27,98589.5784637928,93059.84207080203
2025-03-28,97306.40341043472,91223.09942876696
2025-03-31,98092.51704955101,91728.34053269506
2025-04-01,98552.98019075394,92075.1869862289
2025-04-02,99564.75961446762,92694.68677276527
2025-04-03,95799.40578556061,88208.66869729962
2025-04-04,90293.06473350525,82938.23555458126
2025-04-07,89208.17043232918,82744.86733984017
2025-04-08,87713.14899539948,81445.7295177137
2025-04-09,92432.75277805328,89195.60640154485
2025-04-10,89616.4850218296,86108.7623543954
2025-04-11,91636.8523440361,87666.65028061245
2025-04-14,93197.22744250298,88363.13660336281
2025-04-15,93728.31402611732,88210.46446452418
2025-04-16,93839.90330696106,86233.8116027264
2025-04-17,94157.1905195713,86348.22990908798
2025-04-21,93539.54782867432,84313.21860308568
2025-04-22,94809.94699335098,86430.93097566991
2025-04-23,95462.63885354996,87870.96868482955
2025-04-24,96455.78226399422,89651.15663107233
2025-04-25,96462.02496266365,90312.16657465296
2025-04-28,96616.51973843575,90370.03018522226
2025-04-29,96919.62323284149,90894.39421479504
2025-04-30,96595.89041614532,91028.91713288407
2025-05-01,96539.56883096695,91602.31757946896
2025-05-02,97580.9748301506,92951.30589974936
2025-05-05,97140.13572192192,92358.12807013126
2025-05-06,97274.6755297184,91647.59485709098
2025-05-07,97863.58928513527,92045.92795225001
2025-05-08,98383.99176716805,92579.7736327685
2025-05-09,98626.44813466072,92513.90489097148
2025-05-12,99583.01668214798,95526.04502157903
2025-05-13,99909.20674943924,96218.4369950574
2025-05-14,99784.8856370449,96317.00466271682
2025-05-15,100407.79679012299,96715.01851036925
2025-05-16,100834.85622525215,97392.53355004055
2025-05-19,,97477.86042736418
2025-05-20,101154.52720928192,97099.62396274494
2025-05-21,100361.52482151985,95532.9088429707
2025-05-22,100286.70530223846,95490.40901865602
2025-05-23,100299.70395803452,94849.83091549709
2025-05-26,100769.67783236504,
2025-05-27,101682.60164642334,96790.36890311197
2025-05-28,101779.75016784668,96251.12793973212
2025-05-29,101409.00914311409,96637.20991182579
2025-05-30,101090.8367869854,96629.36440435136
2025-06-02,101893.62532377243,97025.74210853252
2025-06-03,102078.5312538147,97588.51959433567
2025-06-04,101686.54943227768,97595.71064442159
2025-06-05,101756.0348405838,97080.66066085355
2025-06-06,102082.92180323601,98078.71615951574
2025-06-09,102018.09115958214,98168.94348606553
2025-06-10,102099.14876103401,98707.2027633626
2025-06-11,102733.34566116333,98436.36115995998
2025-06-12,103309.15180253983,98812.62627122602
2025-06-13,103169.47066020966,97696.40130799983
2025-06-16,103396.74852514267,98614.03037856454
2025-06-17,103370.01790475845,97790.38777393968
2025-06-18,103276.34292507172,97760.14705387801
2025-06-19,103373.27899456024,
2025-06-20,103205.16830062866,97547.16107985702
2025-06-23,103852.00796175003,98484.24828594836
2025-06-24,103581.07628774643,99579.56253749295
2025-06-25,103214.8733830452,99579.2353087987
2025-06-26,103730.85147047043,100377.87285246995
2025-06-27,103622.30477428436,100901.74204840753
2025-06-30,104159.39532756805,101422.84177222542
2025-07-01,,101309.39717075895
2025-07-02,103895.94386196136,101790.120066181
2025-07-03,104440.28003549576,102638.94331788806
2025-07-04,104536.12856864929,
2025-07-07,104123.66529941559,101831.96543310717
2025-07-08,103887.5932841301,101759.06526497753
2025-07-09,104308.89870023727,102375.9392407722
2025-07-10,104340.5261836052,102657.08455744998
2025-07-11,104114.41205883026,102318.57046383811
2025-07-14,104576.21018362045,102462.57503287285
2025-07-15,103961.34651231766,102057.20253019352
2025-07-16,104116.46962356567,102383.13827204579
2025-07-17,104891.3961853981,102933.32144371398
2025-07-18,104669.11381053925,102924.00739770924
2025-07-21,104635.69243192673,103068.01196674397
2025-07-22,105047.03981494904,103133.7210847877
2025-07-23,105392.3481349945,103939.39005479157
2025-07-24,105282.84239578247,104011.96299422697
2025-07-25,105881.17255115509,104425.340628134
2025-07-28,105640.27690505981,104443.80909639019
2025-07-29,106314.04174184799,104134.71366051052
2025-07-30,105315.21570396423,104004.60433920007
2025-07-31,105009.11761331558,103620.32611551863
2025-08-01,103715.55293416977,101963.21606425366
2025-08-04,,103465.85820945546
2025-08-05,105525.09621047974,102963.23493508139
2025-08-06,106394.33081912994,103713.00366668148
2025-08-07,105561.01574277878,103630.2946189119
2025-08-08,105310.65347766876,104438.5814184698
2025-08-11,105656.62217664719,104177.0538610719
2025-08-12,106041.03410625458,105358.98794234183
2025-08-13,106221.44312429428,105699.30578436593
2025-08-14,106119.0439414978,105731.34227165216
2025-08-15,106077.93070459366,105425.0242890798
2025-08-18,106385.75769662857,105414.40132829804
2025-08-19,106011.5507388115,104796.87289511487
2025-08-20,106055.43646335602,104542.0415541677
2025-08-21,106814.54223060608,104123.43624234025
2025-08-22,107993.23683595657,105704.70106722729
2025-08-25,107385.92152881622,105253.7240582317
2025-08-26,107564.49903678894,105688.84244733748
2025-08-27,107874.51012802124,105941.54281117817
2025-08-28,108006.63634300232,106275.97053670569
2025-08-29,108295.15322828293,105595.99729123365
2025-09-02,108432.80321455002,104865.03223777168
2025-09-03,108763.70989990234,105399.85162318526
2025-09-04,109479.23959207535,106279.57005234249
2025-09-05,109600.86049127579,105943.17895464944
